Date,Open,High,Low,Close,Adj Close,volume,PCR
2023-02-01,17811.599609375,17972.19921875,17353.400390625,17616.30078125,17616.30078125,512900,0.53
2023-02-02,17517.099609375,17653.900390625,17445.94921875,17610.400390625,17610.400390625,490100,0.79
2023-02-03,17721.75,17870.30078125,17584.19921875,17854.05078125,17854.05078125,424100,1.11
2023-02-06,17818.55078125,17823.69921875,17698.349609375,17764.599609375,17764.599609375,282500,0.82
2023-02-07,17790.099609375,17811.150390625,17652.55078125,17721.5,17721.5,354400,0.65
2023-02-08,17750.30078125,17898.69921875,17744.150390625,17871.69921875,17871.69921875,291000,1.2
